Stops,Lat,Lng
181 Cross Rd,-34.9676082,138.5643961
177 Cross Rd,-34.9667532,138.5811616
Zone A Arndale Interchange,-34.8752193,138.5517059
178 Cross Rd,-34.96698,138.57713
9A  Holbrooks Rd,-34.9241231,138.5488623
206 Holbrooks Rd,-34.9086078,138.5498382
8A  Marion Rd,-34.9258775,138.5521189
23  Findon Rd,-34.8944026,138.5316712
20  Cross Rd,-34.9639437,138.6402421
22A  Crittenden Rd,43.15834,-77.6082346
13  Holbrooks Rd,-34.91571,138.5483951
218 Findon Rd,-34.8861132,138.5313139
220 Woodville Rd,-34.8819225,138.534302
25 Torrens Rd,-34.873536,138.545462
224 Woodville Rd,-34.873347,138.542505
219 Woodville Rd,-34.8838409,138.5327088
17  Grange Rd,-34.9049051,138.5455465
205 Holbrooks Rd,-34.91069,138.54907
201 Marion Rd,42.3752144,-71.0347882
20  Crittenden Rd,-34.9004229,138.5399227
8G  Marion Rd,-34.9453222,138.5535472
10  Holbrooks Rd,-34.9203219,138.5487472
217 Findon Rd,-34.8882291,138.5314665
21  Crittenden Rd,-34.89912,138.538
19  Crittenden Rd,-34.9023188,138.5427624
179 Cross Rd,-34.9672401,138.5717579
9B  Marion Rd,-34.9553544,138.5542875
18  Crittenden Rd,-34.90448,138.546
176 Cross Rd,-34.9664314,138.5876591
10  Marion Rd,-34.967214,138.554985
Woodville,41.4499283,-83.36122
170 Cross Rd,49.2833861,-123.0657675
216 Findon Rd,-34.890418,138.5316069
22 Crittenden Rd,43.0117522,-78.4769207
207 Holbrooks Rd,-34.9054119,138.5510658
19  Portrush Rd,-34.96163,138.64426
221 Woodville Rd,-34.87937,138.5363784
223 Woodville Rd,-34.8752323,138.5406639
167 Cross Rd,-34.9650777,138.6179197
172 Cross Rd,-34.9659386,138.6003871
163 Cross Rd,-34.96406,138.63479
168 Cross Rd,-34.9652281,138.6149486
165A Cross Rd,-34.9647659,138.6242233
164 Cross Rd,-34.96439489999999,138.6315326
12  Portrush Rd,-34.9440538,138.642676
13  Portrush Rd,-34.94782530000001,138.6429399
15  Portrush Rd,-34.898387,138.6391888
8  Portrush Rd,-34.9261761,138.6415216
9  Portrush Rd,-34.9087486,138.6401845
16  Portrush Rd,-34.898387,138.6391888
149 Portrush Rd,-34.92985,138.64177
152 Portrush Rd,-34.938067,138.642199
11  Portrush Rd,-34.9403,138.64236
203 Holbrooks Rd,-34.9225778,138.5492166
11  Marion Rd,39.6503668,-86.09615889999999
22  Crittenden Rd,43.0117522,-78.4769207
222 Woodville Rd,-34.87681,138.53914
186 Marion Rd,42.3758184,-71.0352095
145 Portrush Rd,-34.92193,138.64092
14  Portrush Rd,-34.95056,138.64314
17  Portrush Rd,-34.9570757,138.6436441
Zone D Arndale Interchange,-34.87454040000001,138.5513278
18  Portrush Rd,-34.898387,138.6391888
School Urrbrae College Cross R,-34.967,138.636
10 East Av,40.724869,-73.97531099999999
8 East Av,40.731995,-73.995926
7A Leah St,-34.953551,138.581443
12 East Av,40.7306658,-73.98630829999999
11 East Av,-34.964218,138.5814743
16 Portrush Rd,-34.898387,138.6391888
15 Portrush Rd,-34.898387,138.6391888
148 Portrush Rd,-34.928165,138.641455
151 Portrush Rd,-34.9079745,138.6396301
27 Sturt Rd,-35.016873,138.567594
28 Sturt Rd,-35.016694,138.565488
24 Marion Rd,43.996651,-92.429314
Zone B Registry Rd Flinders Un,-35.024931,138.572121
14 Marion Rd,-34.97311,138.55554
17 Marion Rd,44.00043900000001,-92.435287
18 Marion Rd,-34.98469,138.55623
22 Marion Rd,-34.99682,138.55739
Zone A Flinders Medical Centre,-35.022079,138.568018
20 Marion Rd,40.70844960000001,-73.689754
15 Marion Rd,-34.97654,138.55582
29 Sturt Rd,-35.016901,138.561553
16 Marion Rd,44.951975,-93.110086
23 Marion Rd,-34.99925,138.55754
12 Marion Rd,-34.9662849,138.5548016
13 Marion Rd,-34.97026,138.55508
29A Sturt Rd,-35.016901,138.561553
Zone B Flinders Medical Centre,-35.021705,138.568005
26D University Dr,-35.02569,138.56962
25 Marion Rd,-35.00864,138.55798
26 Marion Rd,42.3364331,-82.916236
27 Main South Rd,-35.0180751,138.5673629
Zone A West Lakes Interchange,-34.87837,138.491318
13 Grange Rd,-34.9039613,138.5604449
32 Tapleys Hill Rd,-34.88066999999999,138.51298
31 Tapleys Hill Rd,-34.8842736,138.5132394
29 Tapleys Hill Rd,-34.891207,138.5137597
25 Trimmer Pde,-34.89114,138.52756
27 Trimmer Pde,-34.8914522,138.5211
16 Grange Rd,-34.9045213,138.5494211
V1 Currie St,-34.9245104,138.5991136
1 Port Rd,-34.9199101,138.5810614
Y1 Currie St,-34.924921,138.590415
Zone B West Lakes Interchange,-34.87859,138.491318
R1 North Tce,-34.9212358,138.6090653
24 Trimmer Pde,-34.8909883,138.5306116
7 Manton St,-34.9059647,138.5684786
B2 Currie St,-34.9246826,138.5914679
32A West Lakes Bvd,-34.8796687,138.5092421
4 Port Rd,27.3119902,-80.4075848
33C West Lakes Bvd,-34.8782781,138.4965106
26 Trimmer Pde,-34.89128,138.52446
U1 Grenfell St,-34.9244309,138.6011035
B1 Pulteney St,-34.9222027,138.6056473
T1 Grenfell St,-34.9242643,138.6039913
6 Manton St,-34.9087263,138.5722847
X1 West Tce,-34.9239548,138.5872474
33 West Lakes Bvd,-34.8798177,138.505966
30 Tapleys Hill Rd,-34.8877558,138.5134849
15 Grange Rd,-34.904335,138.5529114
28 Trimmer Pde,-34.8916392,138.517251
29 Trimmer Pde,-34.89191,138.51492
B1 Currie St,-34.9247464,138.588619
3 Port Rd,-34.914475,138.5777675
33B West Lakes Bvd,-34.8795282,138.4984821
5 Port Rd,29.8994143,-94.0323084
36A Bartley Tce,-34.85681,138.4943
35B Bartley Tce,-34.86058,138.4901
33F West Lakes Bvd,-34.87203,138.4874
36B Bartley Tce,-34.853342,138.4929598
Zone D Port Adelaide Interchan,-34.8454272,138.5062597
39 Church St,40.651272,-73.941345
36 Bartley Tce,-34.8595,138.49185
39A Dale St,-34.8468574,138.5043289
33E West Lakes Bvd,-34.8142083,138.607908
34 Bartley Tce,-34.87079,138.48373
37A Bower Rd,-34.85218,138.4960665
35 Bartley Tce,-34.86715,138.48395
35A Bartley Tce,-34.863886,138.485987
Zone B Port Adelaide Interchan,-34.8448589,138.5059046
34A Old Port Rd,-34.86111,138.5063
35A Old Port Rd,-34.858007,138.5026451
33A Tapleys Hill Rd,-34.87345,138.51253
33C Tapleys Hill Rd,-34.86622,138.51199
34 Old Port Rd,-34.86111,138.5063
33B Tapleys Hill Rd,-34.87029500000001,138.512278
33 Tapleys Hill Rd,-34.8774668,138.5127459
38 Commercial Rd,-34.8490861,138.5086434
35 Old Port Rd,-34.85954,138.5039
36 Grand Junction Rd,-34.84461,138.67495
37 Grand Junction Rd,-34.8524703,138.5082656
35B Old Port Rd,-34.85625,138.50255
37 Commercial Rd,-34.85083,138.50953
E2 Currie St,-34.9243137,138.5984621
X1 Pulteney St,-34.923053,138.605475
G3 Grenfell St,-34.9240041,138.6050244
D1 Currie St,-34.9244814,138.5950468
6 The Parade,-34.9216571,138.6279892
3 Rundle St,-34.921739,138.61618
9 The Parade,-34.9212527,138.636073
7 The Parade,-34.9215614,138.6299917
8 The Parade,-34.92139,138.63312
W1 North Tce,-34.9218029,138.5973306
147 Portrush Rd,-34.9076084,138.6398297
U1 North Tce,-34.92163499999999,138.6005495
5 The Parade,-34.9218363,138.6242557
D North Tce,-34.9215428,138.5965985
I1 North Tce,-34.920937,138.6085827
