WeekBeginning,RouteID,count
2013-06-30,118,5778
2013-06-30,140,1229
2013-06-30,141,5100
2013-06-30,142,6381
2013-06-30,148,96
2013-06-30,150,7642
2013-06-30,169,273
2013-06-30,170,2538
2013-06-30,171,6375
2013-06-30,173,537
2013-06-30,174,10415
2013-06-30,177,2674
2013-06-30,178,11838
2013-06-30,263,6387
2013-06-30,265,7948
2013-06-30,273,6247
2013-06-30,281,6660
2013-06-30,501,6736
2013-06-30,502,9716
2013-06-30,100,6998
2013-06-30,100B,153
2013-06-30,100K,134
2013-06-30,100N,124
2013-06-30,100P,272
2013-06-30,100S,18
2013-06-30,101,694
2013-06-30,115,267
2013-06-30,117,6887
2013-06-30,144,2766
2013-06-30,144G,263
2013-06-30,147,5042
2013-06-30,150B,1042
2013-06-30,150P,176
2013-06-30,155,1816
2013-06-30,157,5263
2013-06-30,157X,1465
2013-06-30,162,1830
2013-06-30,167,4174
2013-06-30,167C,715
2013-06-30,168,6208
2013-06-30,171A,163
2013-06-30,172,5432
2013-06-30,178A,38
2013-06-30,178F,1846
2013-06-30,178S,1493
2013-06-30,179,1051
2013-06-30,179F,1071
2013-06-30,190,7316
2013-06-30,190B,2426
2013-06-30,195,389
2013-06-30,195F,1347
2013-06-30,196,219
2013-06-30,196F,1888
2013-06-30,200,4465
2013-06-30,200B,3557
2013-06-30,200C,2091
2013-06-30,202,1005
2013-06-30,202F,4705
2013-06-30,203,1391
2013-06-30,203B,249
2013-06-30,203F,2876
2013-06-30,204,1981
2013-06-30,208,6970
2013-06-30,208B,716
2013-06-30,208N,457
2013-06-30,209F,1799
2013-06-30,222,15511
2013-06-30,222R,109
2013-06-30,224,5092
2013-06-30,224F,7394
2013-06-30,224X,646
2013-06-30,225,1555
2013-06-30,225F,1568
2013-06-30,225M,576
2013-06-30,225X,237
2013-06-30,226F,192
2013-06-30,228,2237
2013-06-30,228F,9146
2013-06-30,228X,798
2013-06-30,229,682
2013-06-30,229F,2142
2013-06-30,229X,174
2013-06-30,230,8938
2013-06-30,231,669
2013-06-30,231A,97
2013-06-30,232,6672
2013-06-30,232R,616
2013-06-30,235,2546
2013-06-30,237,2236
2013-06-30,238,175
2013-06-30,239,3120
2013-06-30,241,4739
2013-06-30,241A,1005
2013-06-30,245,1993
2013-06-30,248,4512
2013-06-30,248F,1132
2013-06-30,250,1700
2013-06-30,251,9484
2013-06-30,251A,105
2013-06-30,252,3882
2013-06-30,252A,97
2013-06-30,253,603
2013-06-30,253X,1431
2013-06-30,254,2610
2013-06-30,254X,8191
2013-06-30,262,2766
2013-06-30,263,1418
2013-06-30,265G,247
2013-06-30,265W,251
2013-06-30,271,6448
2013-06-30,281K,35
2013-06-30,287,6055
2013-06-30,287A,153
2013-06-30,288,3573
2013-06-30,288S,649
2013-06-30,300,14908
2013-06-30,300C,390
2013-06-30,300G,1665
2013-06-30,300H,754
2013-06-30,300J,162
2013-06-30,300K,120
2013-06-30,300M,79
2013-06-30,300U,1029
2013-06-30,312,32
2013-06-30,320,150
2013-06-30,333,862
2013-06-30,333B,518
2013-06-30,333H,65
2013-06-30,333L,9
2013-06-30,350,250
2013-06-30,350P,31
2013-06-30,352,34
2013-06-30,353,41
2013-06-30,361,2028
2013-06-30,374,94
2013-06-30,376,173
2013-06-30,400,6923
2013-06-30,400A,149
2013-06-30,401,4161
2013-06-30,403,1189
2013-06-30,404,831
2013-06-30,405,748
2013-06-30,407,68
2013-06-30,411,7460
2013-06-30,411B,86
2013-06-30,411U,627
2013-06-30,415,870
2013-06-30,415H,29
2013-06-30,415V,373
2013-06-30,421,80
2013-06-30,430,1160
2013-06-30,440,4329
2013-06-30,441,3401
2013-06-30,442,3572
2013-06-30,443,37
2013-06-30,451,6790
2013-06-30,451A,52
2013-06-30,452,4548
2013-06-30,452A,5
2013-06-30,452W,35
2013-06-30,461,569
2013-06-30,470,252
2013-06-30,471,596
2013-06-30,472,113
2013-06-30,473,25
2013-06-30,474,26
2013-06-30,475,188
2013-06-30,476,87
2013-06-30,477,600
2013-06-30,478,14
2013-06-30,479,490
2013-06-30,480,29
2013-06-30,481,81
2013-06-30,482,283
2013-06-30,483,77
2013-06-30,491,533
2013-06-30,492,162
2013-06-30,492W,129
2013-06-30,493,191
2013-06-30,493T,2
2013-06-30,494,175
2013-06-30,494T,1
2013-06-30,500,11765
2013-06-30,502X,1225
2013-06-30,503,4446
2013-06-30,506,11895
2013-06-30,506H,74
2013-06-30,506X,658
2013-06-30,507,2788
2013-06-30,513,12
2013-06-30,528,2066
2013-06-30,541,330
2013-06-30,541G,54
2013-06-30,541X,9689
2013-06-30,542,1314
2013-06-30,542X,6092
2013-06-30,543,868
2013-06-30,543G,63
2013-06-30,543X,2774
2013-06-30,545,958
2013-06-30,545X,3704
2013-06-30,546,718
2013-06-30,546X,1098
2013-06-30,548,2727
2013-06-30,556,5125
2013-06-30,557,4782
2013-06-30,557X,1345
2013-06-30,559,601
2013-06-30,559S,84
2013-06-30,560,3938
2013-06-30,560A,262
2013-06-30,560B,59
2013-06-30,560P,2264
2013-06-30,565,823
2013-06-30,579,220
2013-06-30,580,335
2013-06-30,591A,126
2013-06-30,591C,304
2013-06-30,592,26
2013-06-30,592J,43
2013-06-30,593A,38
2013-06-30,593C,31
2013-06-30,600,2264
2013-06-30,600B,729
2013-06-30,600S,2
2013-06-30,601,1303
2013-06-30,601B,210
2013-06-30,605,225
2013-06-30,640,91
2013-06-30,645,1335
2013-06-30,646,1192
2013-06-30,681,2048
2013-06-30,681A,25
2013-06-30,682,839
2013-06-30,683,55
2013-06-30,694,25
2013-06-30,719,3002
2013-06-30,720,9186
2013-06-30,720H,1725
2013-06-30,721,2311
2013-06-30,721A,16
2013-06-30,721F,9802
2013-06-30,721L,7
2013-06-30,721R,27
2013-06-30,721X,1810
2013-06-30,722,1202
2013-06-30,722A,9
2013-06-30,722F,6286
2013-06-30,722X,1066
2013-06-30,723F,1279
2013-06-30,723X,180
2013-06-30,724,71
2013-06-30,725,2700
2013-06-30,725A,21
2013-06-30,725B,1
2013-06-30,725F,219
2013-06-30,733,6632
2013-06-30,733C,8
2013-06-30,733G,15
2013-06-30,734,4799
2013-06-30,734S,830
2013-06-30,737,491
2013-06-30,740,978
2013-06-30,740A,3
2013-06-30,741,330
2013-06-30,741A,300
2013-06-30,743,2403
2013-06-30,744,289
2013-06-30,745,1218
2013-06-30,745A,233
2013-06-30,745C,17
2013-06-30,747,1215
2013-06-30,747A,142
2013-06-30,747B,24
2013-06-30,749,3835
2013-06-30,749A,83
2013-06-30,749G,433
2013-06-30,750,778
2013-06-30,750A,2
2013-06-30,750B,11
2013-06-30,751,211
2013-06-30,751A,1
2013-06-30,751W,91
2013-06-30,752,243
2013-06-30,752A,69
2013-06-30,753,519
2013-06-30,753A,4
2013-06-30,753H,511
2013-06-30,754,187
2013-06-30,755,130
2013-06-30,756,212
2013-06-30,770,487
2013-06-30,771,311
2013-06-30,772,245
2013-06-30,773,54
2013-06-30,774,67
2013-06-30,775,245
2013-06-30,776,23
2013-06-30,777,374
2013-06-30,778,149
2013-06-30,779,1
2013-06-30,780,41
2013-06-30,781,60
2013-06-30,782,552
2013-06-30,783,469
2013-06-30,784,123
2013-06-30,785,222
2013-06-30,786,12
2013-06-30,820,1799
2013-06-30,820S,270
2013-06-30,821,172
2013-06-30,823,153
2013-06-30,830F,610
2013-06-30,834,73
2013-06-30,834A,90
2013-06-30,835,696
2013-06-30,835A,123
2013-06-30,837,253
2013-06-30,838,189
2013-06-30,838H,339
2013-06-30,839,672
2013-06-30,839R,25
2013-06-30,840F,1206
2013-06-30,841F,811
2013-06-30,842F,1195
2013-06-30,850,274
2013-06-30,852,30
2013-06-30,852L,2
2013-06-30,853,21
2013-06-30,860F,1078
2013-06-30,861,8173
2013-06-30,862,49
2013-06-30,863,606
2013-06-30,863F,1051
2013-06-30,864,2697
2013-06-30,864F,7724
2013-06-30,864H,156
2013-06-30,865,912
2013-06-30,865C,3
2013-06-30,865S,1
2013-06-30,866,255
2013-06-30,866A,58
2013-06-30,866R,19
2013-06-30,867,57
2013-06-30,868,318
2013-06-30,870,481
2013-06-30,871,85
2013-06-30,872,127
2013-06-30,873,65
2013-06-30,875,76
2013-06-30,877,148
2013-06-30,878,347
2013-06-30,879,367
2013-06-30,881,27
2013-06-30,882,412
2013-06-30,883,314
2013-06-30,884,351
2013-06-30,885,115
2013-06-30,886,237
2013-06-30,887,399
2013-06-30,888,323
2013-06-30,889,9
2013-06-30,890,368
2013-06-30,892,164
2013-06-30,893,25
2013-06-30,894,54
2013-06-30,894H,221
2013-06-30,894S,24
2013-06-30,900,215
2013-06-30,914,15
2013-06-30,B1,3994
2013-06-30,B10,23279
2013-06-30,B10C,1409
2013-06-30,B10X,938
2013-06-30,B11,162
2013-06-30,B12,1124
2013-06-30,B1X,923
2013-06-30,C1,14794
2013-06-30,C1G,1527
2013-06-30,C1T,2223
2013-06-30,C1X,2099
2013-06-30,C2,6985
2013-06-30,C2X,3991
2013-06-30,FX22,10
2013-06-30,G10,32128
2013-06-30,G10A,2729
2013-06-30,G10B,2020
2013-06-30,G10C,2392
2013-06-30,G20,5564
2013-06-30,G21,4400
2013-06-30,G21H,24
2013-06-30,G21X,409
2013-06-30,G22,2235
2013-06-30,G30,1214
2013-06-30,G40,6852
2013-06-30,G40M,1106
2013-06-30,H20,16357
2013-06-30,H20C,834
2013-06-30,H20R,403
2013-06-30,H21,2674
2013-06-30,H22,10206
2013-06-30,H22C,380
2013-06-30,H22L,2925
2013-06-30,H23,252
2013-06-30,H24,722
2013-06-30,H30,22953
2013-06-30,H30C,1414
2013-06-30,H30S,3604
2013-06-30,H31,11517
2013-06-30,H31C,2159
2013-06-30,H32,2575
2013-06-30,HL1,5
2013-06-30,HL2,11
2013-06-30,IND_EW,149
2013-06-30,J1,9134
2013-06-30,J1A,1050
2013-06-30,J2,5843
2013-06-30,J7,1805
2013-06-30,M44,39260
2013-06-30,M44C,757
2013-06-30,M44G,1449
2013-06-30,M44P,19
2013-06-30,M44T,745
2013-06-30,M44X,2021
2013-06-30,N1,3
2013-06-30,N3,10201
2013-06-30,N3X,1298
2013-06-30,N4,5692
2013-06-30,N4T,139
2013-06-30,N5,3994
2013-06-30,N6,2788
