StopName,RouteID
1 Anzac Hwy,"['167', '168', 168, 169, 177, '202', '202F', '203', '203B', '203F', '208', '241', '241A', '245', '248', '248F', '250', '251', '252', '253', '253X', '254', '254X', '262', '262F', '263', 263, 265, '265', '265B', '265G', '265W', '719', '721', '721F', '722', '722F', '723F', '725F', 'M44', 'M44C', 'M44G', 'M44T', 'M44X', 'N254', 'N262', 'N3', 'N721', 'T721', 'T722']"
1 Bartels Rd,"['613', 'H20', 'H20C', 'H20R', 'H22', 'H22C', 'H22L', 'H23', 'H24', 'N22']"
1 Botanic Rd,"[174, 177, 178, '178', '178F', '178S', '179', '179F', 281, '281', '281K', 'B10', 'B10C', 'B11', 'H30', 'H30C', 'H30S', 'H31', 'H31C', 'H33', 'H33C', 'N178', 'SCH_EW', 'W90', 'W90M', 'W91']"
1 Frome Rd,"['235', '237', '238', '239', '271', 271, 273]"
1 Fullarton Rd,"['144', '144G']"
1 George St,"[170, '172', 172]"
1 Glen Osmond Rd,"[171, '171', '171A', 173, '625', '830F', '840F', '841F', '842F', '860F', '861', '862', '863', '863F', '864', '864F', '865', '870', '889', 'N864', 'SCH_EW']"
1 Goodwood Rd,"['B1', 'G10', 'G10A', 'G10B', 'G10C', 'G20', 'G20F', 'G21', 'G21F', 'G30', 'G40', 'N202', 'N21', 'SB1', 'W90', 'W91']"
1 Henley Beach Rd,"['162', '615', 'H20', 'H20C', 'H22', 'H22C', 'H30', 'H30C', 'H30S', 'H31', 'H31C', 'H32', 'H33', 'H33C', 'J1', 'J2', 'N30', 'N4T', 'SB1', 'SCH_EW']"
1 Kensington Rd,"[141, 142, '142']"
1 King William Rd,"['190', '190B', '195', '196', '200', '200B', '200C', '202', '202F', '203', '203F', '204', '208', '208B', '208N', '209F', '222', '224', '224F', '224X', '225F', '225X', '226F', '228', '228F', '228X', '229F', '229X', '230', '231', '232', '232R', '248', '250', '251', '252', '253', '253X', '254', '254X', 263, 265, '265', '265B', '265G', '265W', 'G10', 'G10A', 'G10B', 'G10C', 'G20', 'G21', 'N224', 'N254', 'N262']"
1 Montefiore Rd,"['271', 271, 273]"
1 Port Rd,"['115', '117', 117, 118, 150, '150', '150B', '150P', '155', '157', '286', '286A', '287', '287A', '288', '288S', 'B10', 'B12']"
1 Sir Donald Bradman Dr,"['720', '720H']"
1 Sir Edwin Smith Av,"['200', '200B', '200C', '202', '202F', '203', '203B', '203F', '204', '208', '208B', '208N', '241', '241A', '245', '248', '248F', 'N202', 'N21']"
1 Unley Rd,"[148, '190', '190B', '195', '195F', '196', '196F']"
10  Holbrooks Rd,"['100', '100S', '101', 'H22', 'H22L']"
10  Marion Rd,"['100', '100B', '100C', '100N', '100P', '101', '167', 'H20', 'H20C', 'SCH_EW']"
10  Portrush Rd,"['300', '300C', '300G', '300H', '300J', '300K', '622', '624', '962', '963', '992', '995', 'H30', 'H30C', 'H30S', 'H31', 'H31C', 'H33', 'H33C', 'SCH_EW', 'SCH_NS', 'SCHONE']"
10 Airport Rd,"['J1', 'J1A', 'J2', 'J7', 'J8']"
10 Anzac Hwy,"['245', '248', '248F', '262', '262F', '263', 263, 265, '265', '265B', '265G', '265W', 'M44', 'M44C', 'M44G', 'M44T', 'M44X', 'N262']"
10 Ashley St,"['286', '286A', '287', '287A', '288', '288S']"
10 Belair Rd,"['190', '190B', '195', '195F', '196', '196F', '300', '300G', '300H', '300J', '883', '892']"
10 Churchill Rd,"['235', '237', '238', '239']"
10 East Av,"['100C', 'N4', 'SCH_EW', 'W90', 'W90M', 'W91', 'W91C']"
10 Fullarton Rd,"[171, '171', '171A', 173, 'SCH_EW']"
10 Garden Tce,"['H22', 'H22C']"
10 Glen Osmond Rd,"['830F', '840F', '841F', '842F', '860F', '861', '862', '863', '863F', '864', '864F', '865', '872', '873', 'N864']"
10 Goodwood Rd,"['961', 'G10', 'G10A', 'G10B', 'G10C', 'G20', 'G20F', 'G21', 'G21F', 'G30', 'N10', 'N21', 'SCH_NS']"
